,Dates,Max Earnings
269,2014-03-06 TO 2015-03-05,1701.39
270,2014-03-07 TO 2015-03-05,1717.5299999999993
271,2014-03-10 TO 2015-03-05,1713.3924999999995
272,2014-03-11 TO 2015-03-05,1730.5099999999998
273,2014-03-12 TO 2015-03-05,1680.1749999999995
274,2014-03-13 TO 2015-03-05,1710.65
275,2014-03-14 TO 2015-03-05,1719.41
276,2014-03-17 TO 2015-03-16,1802.175
277,2014-03-18 TO 2015-03-18,1796.4050000000002
278,2014-03-19 TO 2015-03-19,1827.73
279,2014-03-20 TO 2015-03-20,1807.355
280,2014-03-21 TO 2015-03-20,1873.87
281,2014-03-24 TO 2015-03-23,1921.29
282,2014-03-25 TO 2015-03-23,1901.445
283,2014-03-26 TO 2015-03-23,1945.06
284,2014-03-27 TO 2015-03-23,1963.95
285,2014-03-28 TO 2015-03-23,1931.14
286,2014-03-31 TO 2015-03-23,1900.965
287,2014-04-01 TO 2015-03-23,1878.82
288,2014-04-02 TO 2015-03-23,1901.395
289,2014-04-03 TO 2015-03-23,1915.535
290,2014-04-04 TO 2015-03-23,2016.905
291,2014-04-07 TO 2015-03-23,2063.9675
292,2014-04-08 TO 2015-03-23,2042.56
293,2014-04-09 TO 2015-03-23,1984.865
294,2014-04-10 TO 2015-03-23,2098.65
295,2014-04-11 TO 2015-03-23,2146.49
296,2014-04-14 TO 2015-03-23,2127.99
297,2014-04-15 TO 2015-03-20,2132.86
298,2014-04-16 TO 2015-03-23,2117.85
299,2014-04-17 TO 2015-03-23,2093.0750000000007
300,2014-04-21 TO 2015-03-23,2018.43
301,2014-04-22 TO 2015-03-23,1898.91
302,2014-04-23 TO 2015-04-23,1866.9300000000005
303,2014-04-24 TO 2015-04-23,1835.6425
304,2014-04-25 TO 2015-04-23,1894.13
305,2014-04-28 TO 2015-04-23,1902.71
306,2014-04-29 TO 2015-03-23,1869.29
307,2014-04-30 TO 2015-04-23,1824.4674999999993
308,2014-05-01 TO 2015-03-23,1802.41
309,2014-05-02 TO 2015-03-23,1786.0700000000004
310,2014-05-05 TO 2015-03-23,1757.84
311,2014-05-06 TO 2015-04-23,1730.78
312,2014-05-07 TO 2015-04-23,1732.04
313,2014-05-08 TO 2015-04-23,1768.86
314,2014-05-09 TO 2015-04-23,1716.99
315,2014-05-12 TO 2015-04-23,1612.5675
316,2014-05-13 TO 2015-04-23,1641.4899999999998
317,2014-05-14 TO 2015-03-23,1647.9250000000004
318,2014-05-15 TO 2015-04-23,1737.4350000000004
319,2014-05-16 TO 2015-04-23,1772.8889999999994
320,2014-05-19 TO 2015-05-19,1771.09
321,2014-05-20 TO 2015-05-20,1823.215
322,2014-05-21 TO 2015-05-20,1828.875
323,2014-05-22 TO 2015-05-22,1808.775
324,2014-05-23 TO 2015-05-22,1807.21
325,2014-05-27 TO 2015-05-27,1821.09
326,2014-05-28 TO 2015-05-27,1837.55
327,2014-05-29 TO 2015-05-29,1887.14
328,2014-05-30 TO 2015-05-29,1874.005
329,2014-06-02 TO 2015-05-29,1876.2
330,2014-06-03 TO 2015-05-29,1789.36
331,2014-06-04 TO 2015-05-29,1737.15
332,2014-06-05 TO 2015-05-29,1725.455
333,2014-06-06 TO 2015-05-29,1738.6500000000005
334,2014-06-09 TO 2015-05-29,1714.66
335,2014-06-10 TO 2015-05-29,1699.555
336,2014-06-11 TO 2015-05-29,1685.85
337,2014-06-12 TO 2015-05-29,1711.6850000000004
338,2014-06-13 TO 2015-05-29,1706.175
339,2014-06-16 TO 2015-05-29,1704.8
340,2014-06-17 TO 2015-05-29,1674.4299999999996
341,2014-06-18 TO 2015-05-29,1685.57
342,2014-06-19 TO 2015-05-29,1693.375
343,2014-06-20 TO 2015-05-29,1667.31
344,2014-06-23 TO 2015-06-22,1687.04
345,2014-06-24 TO 2015-06-22,1740.65
346,2014-06-25 TO 2015-06-22,1716.415
347,2014-06-26 TO 2015-06-22,1736.85
348,2014-06-27 TO 2015-06-22,1741.0100000000002
349,2014-06-30 TO 2015-06-22,1693.915
350,2014-07-01 TO 2015-06-22,1632.705
351,2014-07-02 TO 2015-06-22,1625.82
352,2014-07-03 TO 2015-06-22,1609.795
353,2014-07-07 TO 2015-06-22,1673.705
354,2014-07-08 TO 2015-06-22,1737.105
355,2014-07-09 TO 2015-06-22,1724.245
356,2014-07-10 TO 2015-06-22,1755.5099999999998
357,2014-07-11 TO 2015-06-22,1755.2650000000006
358,2014-07-14 TO 2015-06-22,1742.05
359,2014-07-15 TO 2015-06-22,1797.85
360,2014-07-16 TO 2015-06-22,1823.51
361,2014-07-17 TO 2015-06-22,1875.905
362,2014-07-18 TO 2015-06-22,1708.155
363,2014-07-21 TO 2015-06-22,1686.235
364,2014-07-22 TO 2015-06-22,1640.255
365,2014-07-23 TO 2015-07-20,1648.645
366,2014-07-24 TO 2015-05-29,1683.7199999999998
367,2014-07-25 TO 2015-06-22,1780.315
368,2014-07-28 TO 2015-06-22,1752.1199999999994
369,2014-07-29 TO 2015-07-17,1730.95
370,2014-07-30 TO 2015-06-22,1724.085
371,2014-07-31 TO 2015-06-22,1814.62
372,2014-08-01 TO 2015-07-17,1807.92
373,2014-08-04 TO 2015-07-17,1760.33
374,2014-08-05 TO 2015-06-22,1797.05
375,2014-08-06 TO 2015-07-17,1764.428
376,2014-08-07 TO 2015-07-17,1822.76
377,2014-08-08 TO 2015-06-22,1797.34
378,2014-08-11 TO 2015-06-22,1755.5600000000004
379,2014-08-12 TO 2015-06-22,1755.31
380,2014-08-13 TO 2015-06-22,1683.21
381,2014-08-14 TO 2015-06-22,1659.685
382,2014-08-15 TO 2015-07-17,1632.87
383,2014-08-18 TO 2015-06-22,1616.515
384,2014-08-19 TO 2015-06-22,1584.19
385,2014-08-20 TO 2015-06-22,1577.055
386,2014-08-21 TO 2015-06-22,1609.87
387,2014-08-22 TO 2015-06-22,1610.8200000000004
388,2014-08-25 TO 2015-06-22,1567.62
389,2014-08-26 TO 2015-06-22,1535.77
390,2014-08-27 TO 2015-06-22,1541.915
391,2014-08-28 TO 2015-07-17,1525.22
392,2014-08-29 TO 2015-07-17,1489.7600000000002
393,2014-09-02 TO 2015-06-22,1527.66
394,2014-09-03 TO 2015-06-22,1562.16
395,2014-09-04 TO 2015-06-22,1584.4600000000007
396,2014-09-05 TO 2015-06-22,1545.9
397,2014-09-08 TO 2015-06-22,1519.055
398,2014-09-09 TO 2015-06-22,1562.94
399,2014-09-10 TO 2015-06-22,1547.98
400,2014-09-11 TO 2015-06-22,1578.7199999999998
401,2014-09-12 TO 2015-06-22,1628.61
402,2014-09-15 TO 2015-06-22,1676.07
403,2014-09-16 TO 2015-09-11,1606.5099999999998
404,2014-09-17 TO 2015-09-17,1631.9600000000007
405,2014-09-18 TO 2015-09-17,1597.15
406,2014-09-19 TO 2015-09-17,1614.85
407,2014-09-22 TO 2015-08-17,1671.7379999999998
408,2014-09-23 TO 2015-09-17,1678.27
409,2014-09-24 TO 2015-09-11,1627.7599999999998
410,2014-09-25 TO 2015-09-17,1685.7200000000007
411,2014-09-26 TO 2015-09-17,1647.13
412,2014-09-29 TO 2015-09-11,1646.48
413,2014-09-30 TO 2015-09-17,1683.9
414,2014-10-01 TO 2015-09-17,1732.15
415,2014-10-02 TO 2015-09-17,1747.0700000000004
416,2014-10-03 TO 2015-09-11,1694.91
417,2014-10-06 TO 2015-09-17,1703.6600000000005
418,2014-10-07 TO 2015-09-17,1763.11
419,2014-10-08 TO 2015-09-11,1727.77
420,2014-10-09 TO 2015-09-17,1752.88
421,2014-10-10 TO 2015-07-20,1857.76
422,2014-10-13 TO 2015-05-29,1947.205
423,2014-10-14 TO 2015-09-16,1855.26
424,2014-10-15 TO 2015-09-17,1834.1500000000005
425,2014-10-16 TO 2015-08-17,1904.686
426,2014-10-17 TO 2015-08-17,1905.342
427,2014-10-20 TO 2015-08-17,1869.079
428,2014-10-21 TO 2015-08-17,1802.538
429,2014-10-22 TO 2015-08-17,1794.566
430,2014-10-23 TO 2015-08-17,1702.4709999999998
431,2014-10-24 TO 2015-08-17,1692.652
432,2014-10-27 TO 2015-08-17,1652.671
433,2014-10-28 TO 2015-08-17,1608.348
434,2014-10-29 TO 2015-10-29,1645.9216
435,2014-10-30 TO 2015-10-30,1594.259
436,2014-10-31 TO 2015-10-30,1522.3203999999996
437,2014-11-03 TO 2015-11-02,1530.7415999999996
438,2014-11-04 TO 2015-11-04,1640.0888
439,2014-11-05 TO 2015-11-05,1753.8605
440,2014-11-06 TO 2015-11-06,1766.6645000000005
441,2014-11-07 TO 2015-11-06,1740.4104999999995
442,2014-11-10 TO 2015-11-06,1687.8231999999996
443,2014-11-11 TO 2015-11-11,1689.3004
444,2014-11-12 TO 2015-11-11,1693.9516
445,2014-11-13 TO 2015-11-11,1646.5558
446,2014-11-14 TO 2015-11-11,1555.5445
447,2014-11-17 TO 2015-11-11,1600.9195000000002
448,2014-11-18 TO 2015-11-18,1629.5047999999995
449,2014-11-19 TO 2015-11-18,1665.5073999999993
450,2014-11-20 TO 2015-11-20,1672.4174000000005
451,2014-11-21 TO 2015-11-20,1679.5235000000002
452,2014-11-24 TO 2015-11-23,1713.9122000000002
453,2014-11-25 TO 2015-11-23,1733.7786999999996
454,2014-11-26 TO 2015-11-23,1734.9537
455,2014-11-28 TO 2015-11-23,1721.0648
456,2014-12-01 TO 2015-12-01,1843.59
457,2014-12-02 TO 2015-12-02,1802.4759
458,2014-12-03 TO 2015-12-02,1882.316
459,2014-12-04 TO 2015-12-04,1905.083
460,2014-12-05 TO 2015-12-04,1927.4360000000001
461,2014-12-08 TO 2015-12-04,1990.529
462,2014-12-09 TO 2015-12-04,1947.156
463,2014-12-10 TO 2015-12-04,2018.98
464,2014-12-11 TO 2015-12-04,2006.708
465,2014-12-12 TO 2015-12-04,2010.307
466,2014-12-15 TO 2015-12-04,2037.71
467,2014-12-16 TO 2015-12-04,2140.738
468,2014-12-17 TO 2015-12-04,2063.378
469,2014-12-18 TO 2015-12-04,2063.798
470,2014-12-19 TO 2015-12-04,2035.965
471,2014-12-22 TO 2015-12-04,2006.019
472,2014-12-23 TO 2015-12-04,2007.451
473,2014-12-24 TO 2015-12-04,2008.586
